,w/c,Water (kg/m3),Cement (kg/m3),Fly Ash (kg/m3),Type A,Type D,ASTM C494 Type F (g/kg),Slag (kg/m3),Superplasticizer (kg/m3),Fine Aggregate (kg/m3),Coarse Aggregate (kg),Limestone (kg/m3),Filler (kg/m3),RCA (kg/m3),Silica Fume (kg/m3),,,3 days,7 days,28 days,120 days,,Fineness Modulus (Fine Aggregate),Absorption % (Fine Aggregate),Absorption % (Coarse Aggregate),Coarse aggregate size (mm),Cement Cost estimate/m^3,Fly Ash Cost estimate/m^3,Fine Aggregate Cost estimate/m^3,Coarse Aggregate Cost estimate/m^3,Slag Cost estimate/m^3,Limestone Cost estimate/m^3,Total Cost Estimate/m^3
113,0.25,93,374,0,0,0,0,0,0,1767,190,0,0,0,0,0,,,21.2,,,,,,,,63.2808,0,20.026,3.362831858,0,0,86.66963186
114,0.28,100,357,0,0,0,0,0,0,1926,0,0,0,0,0,0,,,26.4,,,,,,,,60.4044,0,21.828,0,0,0,82.2324
115,0.3,100,333,0,0,0,0,0,0,1945,0,0,0,0,0,0,,,20.7,,,,,,,,56.3436,0,22.04333333,0,0,0,78.38693333
116,0.27,107,395,0,0,0,0,0,0,1712,0,0,0,0,0,0,,,24.6,34.1,,,,,,,66.834,0,19.40266667,0,0,0,86.23666667
117,0.3,106.4,354.6,0,5.4,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,11.0,,,,,,,59.99832,0,7.757666667,13.54867257,0,0,81.30465923
118,0.4,141.8,354.6,0,5.4,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,47.6,,,,,,,59.99832,0,7.757666667,13.54867257,0,0,81.30465923
119,0.45,159.6,354.6,0,5.4,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,45.6,,,,,,,59.99832,0,7.757666667,13.54867257,0,0,81.30465923
120,0.45,160.4,356.4,0,3.6,0,0,0,0,684.5,765.5,0,0,0,0,0,,,,31.7,,,,,,,60.30288,0,7.757666667,13.54867257,0,0,81.60921923
121,0.35,124.1,354.6,0,0,5.4,0,0,0,684.5,765.5,0,0,0,0,0,,,,48.0,,,,,,,59.99832,0,7.757666667,13.54867257,0,0,81.30465923
122,0.45,159.6,354.6,0,0,5.4,0,0,0,684.5,765.5,0,0,0,0,0,,,,52.0,,,,,,,59.99832,0,7.757666667,13.54867257,0,0,81.30465923
123,0.3,106.9,356.4,0,0,0,3.6,0,0,684.5,765.5,0,0,0,0,0,,,,58.5,,,,,,,60.30288,0,7.757666667,13.54867257,0,0,81.60921923
124,0.35,124.7,356.4,0,0,0,3.6,0,0,684.5,765.5,0,0,0,0,0,,,,63.5,,,,,,,60.30288,0,7.757666667,13.54867257,0,0,81.60921923
125,0.45,160.4,356.4,0,0,0,3.6,0,0,684.5,765.5,0,0,0,0,0,,,,56.0,,,,,,,60.30288,0,7.757666667,13.54867257,0,0,81.60921923
126,0.35,140,240,160,0,0,0,0,0,637,1158,0,0,0,0,0,,,,54.8,,,,,,16,40.608,15.8288,7.219333333,20.49557522,0,0,84.15170855
127,0.35,140,200,200,0,0,0,0,0,637,1158,0,0,0,0,0,,,,41.1,,,,,,16,33.84,19.786,7.219333333,20.49557522,0,0,81.34090855
128,0.35,140,160,240,0,0,0,0,0,637,1158,0,0,0,0,0,,,,50.3,,,,,,16,27.072,23.7432,7.219333333,20.49557522,0,0,78.53010855
129,0.35,140,120,280,0,0,0,0,0,637,1158,0,0,0,0,0,,,,95.1,,,,,,16,20.304,27.7004,7.219333333,20.49557522,0,0,75.71930855
130,0.3,93,309,0,0,0,0,0,0,72.6,1452.3,0,0,0,0,0, , , ,16.5, ,,,,,,52.2828,0,0.8228,25.70442478,0,0,78.81002478
